Country,Population,Percent Overweight,Number Overweight,Number Not Overweight,Diagnoses in Overweight People,Diagnoses in Not Overweight People,Total Diagnoses,Estimated Undiagnosed Diabetes,Percent of Population with Undiagnosed Diabetes
Namibia,2587801,36,931608.36,1656192.6400000001,674484.4526399999,163963.07136000003,838447.524,335379.0096,12.959999999999999
Botswana,2333201,38,886616.38,1446584.62,641910.25912,143211.87738000002,785122.1365,314048.8546,13.459999999999999
Bahrain,1566993,64,1002875.52,564117.48,726081.87648,55847.63052,781929.507,312771.8028,19.96
Lesotho,2263010,33,746793.3,1516216.7,540678.3492,150105.4533,690783.8025,276313.521,12.21
Gabon,2067561,36,744321.96,1323239.04,538889.09904,131000.66496000001,669889.764,267955.9056,12.959999999999999
Estonia,1306788,60,784072.7999999999,522715.20000000007,567668.7072,51748.80480000001,619417.512,247767.0048,18.96
Gambia,2163765,27,584216.55,1579548.45,422972.7822,156375.29655,579348.07875,231739.2315,10.71
Cyprus,1189085,60,713451.0,475634.0,516538.524,47087.766,563626.29,225450.51600000003,18.96
Trinidad and Tobago,1372598,48,658847.0399999999,713750.9600000001,477005.2569599999,70661.34504000001,547666.602,219066.6408,15.959999999999999
Guinea-Bissau,1907268,26,495889.68,1411378.32,359024.12831999996,139726.45368,498750.58199999994,199500.2328,10.459999999999999
Fiji,912241,63,574711.83,337529.17000000004,416091.36491999996,33415.38783000001,449506.75275,179802.7011,19.71
Swaziland,1391385,33,459157.05000000005,932227.95,332429.70420000004,92290.56705,424720.27125000005,169888.10850000003,12.210000000000003
Mauritius,1268315,33,418543.95,849771.05,303025.8198,84127.33395000001,387153.15375,154861.2615,12.21
Equatorial Guinea,1313894,25,328473.5,985420.5,237814.81399999998,97556.62950000001,335371.4435,134148.5774,10.21
Djibouti,971408,35,339992.8,631415.2,246154.7872,62510.1048,308664.892,123465.9568,12.709999999999999
Guyana,782225,47,367645.75,414579.25,266175.523,41043.34575,307218.86874999997,122887.54749999999,15.709999999999999
Montenegro,629219,62,390115.77999999997,239103.22000000003,282443.82472,23671.218780000003,306115.04349999997,122446.0174,19.46
Luxembourg,590321,61,360095.81,230225.19,260709.36643999998,22792.293810000003,283501.66024999996,113400.6641,19.21
Timor,1324094,17,225095.98,1098998.02,162969.48952,108800.80398000001,271770.2935,108708.11740000002,8.21
Suriname,568301,59,335297.58999999997,233003.41000000003,242755.45515999998,23067.337590000003,265822.79274999996,106329.11709999999,18.709999999999997
Solomon Islands,623281,51,317873.31,305407.69,230140.27644,30235.36131,260375.63775,104150.25510000001,16.71
Malta,432089,70,302462.3,129626.70000000001,218982.7052,12833.043300000001,231815.7485,92726.2994,21.46
Bhutan,817054,25,204263.5,612790.5,147886.774,60666.2595,208553.03350000002,83421.21340000001,10.21
Comoros,832347,24,199763.28,632583.72,144628.61471999998,62625.78828,207254.403,82901.76120000001,9.96
Iceland,337780,61,206045.8,131734.2,149177.1592,13041.685800000001,162218.845,64887.538,19.21
Belize,382444,51,195046.44,187397.56,141213.62256,18552.35844,159765.981,63906.392400000004,16.71
Brunei,434076,42,182311.91999999998,251764.08000000002,131993.83007999999,24924.643920000002,156918.474,62767.389599999995,14.459999999999997
Barbados,286388,55,157513.40000000002,128874.59999999998,114039.70160000001,12758.585399999998,126798.28700000001,50719.31480000001,17.710000000000004
Vanuatu,282117,54,152343.18000000002,129773.81999999998,110296.46232,12847.60818,123144.0705,49257.62820000001,17.460000000000004
Maldives,444259,28,124392.52000000002,319866.48,90060.18448000001,31666.78152,121726.96600000001,48690.78640000001,10.960000000000003
Samoa,197695,75,148271.25,49423.75,107348.385,4892.95125,112241.33625,44896.5345,22.71
Saint Lucia,179667,48,86240.16,93426.84,62437.87584,9249.25716,71687.133,28674.8532,15.960000000000003
Kiribati,118414,78,92362.92,26051.08,66870.75408,2579.0569200000004,69449.811,27779.924400000004,23.460000000000004
Tonga,109008,75,81756.0,27252.0,59191.344,2697.9480000000003,61889.292,24755.716800000002,22.71
Sao Tome and Principe,208818,31,64733.58,144084.41999999998,46867.11192,14264.35758,61131.46950000001,24452.587800000005,11.710000000000003
Micronesia (country),106227,70,74358.9,31868.100000000006,53835.84359999999,3154.9419000000007,56990.78549999999,22796.314199999997,21.459999999999997
Grenada,108339,49,53086.11,55252.89,38434.34364,5470.03611,43904.37975,17561.7519,16.21
Dominica,74308,60,44584.799999999996,29723.200000000004,32279.395199999995,2942.5968000000007,35221.992,14088.7968,18.96
Marshall Islands,53167,82,43596.939999999995,9570.060000000005,31564.184559999994,947.4359400000005,32511.620499999994,13004.648199999998,24.459999999999997
Seychelles,95235,38,36189.3,59045.7,26201.053200000002,5845.5243,32046.577500000003,12818.631000000001,13.460000000000003
Saint Kitts and Nevis,55850,52,29042.0,26808.0,21026.408,2653.992,23680.4,9472.160000000002,16.960000000000004
Palau,21964,84,18449.76,3514.2400000000016,13357.626239999998,347.9097600000002,13705.535999999998,5482.2144,24.959999999999997
Cook Islands,17411,83,14451.13,2959.870000000001,10462.61812,293.0271300000001,10755.64525,4302.2581,24.71
Nauru,11312,87,9841.44,1470.5599999999995,7125.20256,145.58543999999995,7270.788,2908.3152,25.71
Tuvalu,11287,81,9142.470000000001,2144.529999999999,6619.14828,212.3084699999999,6831.45675,2732.5827000000004,24.210000000000004
Niue,1624,79,1282.96,341.03999999999996,928.86304,33.76296,962.626,385.0504,23.71
